# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HIP 70849 b,9,2861.1,[6.0],,,10000,"[8000.0, 8000.0]",10,"[5.5, 5.5]",0.6,"[0.13, 0.13]",,,0.416667,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HIP 70849,29:19.0,-46:27:50,10.36,,,,,24,,0.63,,K7V,3,4105
HIP 75458 b,8.82,2803.878,[0.72],,[],510.702,[0.07],1.275,[0.074],0.713,[0.008],69.9,"[43.3, 43.3]",0.040476,92.5,[0.7],2015.36,[0.16],,[],,[],,,,,,,,,,,detected by radial velocity,,HIP 75458,24:55.0,+58:57:57,3.31,,,,,31.5,0.15,1.4,12.8,K2 III,,4445
HIP 77900 b,20,6358,"[7.0, 3.0]",,[],,[],3200,[300.0],,[],,[],,,[],,[],,[],,[],,,,,,,2400,,,,detected by imaging,,HIP 77900,54:30.0,-27:20:19,,,,,,,,,,B6,,13700
HIP 78530 b,23.04,7324.416,[4.0],,,,,710,[60.0],,,,,4.530951,,,,,,,,,,,,,,,,,,,detected by imaging,,HIP 78530,01:55.0,-21:58:49,7.18,,,,,156.7,,2.5,,B9V,0.011,10500
HIP 79431 b,2.1,667.59,,,,111.7,[0.7],0.36,,0.29,,,,0.025,287.4,[3.2],2454980.3,[1.2],,,,,,,,,,,,,,,detected by radial velocity,,HIP 79431,12:42.0,-18:52:32,11.34,,,,,14.4,0.4,0.49,,M3V,,3191
HN Peg b,16,5086.4,[9.4],1.1,"[0.06, 0.06]",,,795,[15.0],,,,,43.206522,,,,,,,,,,,,,,,,,,,detected by imaging,,HN Peg,44:31.0,+14:46:19,6,,,,,18.4,,1,,G0V,0.2,
HR 228 b,2.37,753.423,[0.34],,[],360.2,[1.4],1.19,[0.05],0.13,[0.06],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HR 228,49:14.0,-24:08:12,5.893,,,,,,0.01,1.7,,K0III,,
HR 228 c,2.37,753.423,[0.38],,[],2732,[81.0],4.6,[0.23],0.23,[0.07],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HR 228,49:14.0,-24:08:12,5.893,,,,,,0.01,1.7,,K0III,,
HR 810 b,2.26,718.454,[0.18],,,320.1,[2.1],0.925,[0.104],0.161,[0.069],,,0.053873,83,[11.0],2450307,[3.0],,,,,,,,,,,,,,,detected by radial velocity,,HR 810,42:31.0,-50:48:12,5.4,,,,,17.17,0.25,1.11,1.85,G0V pecul.,3.6,5997
HR 8799 b,7,2225.3,"[2.0, 4.0]",1.1,[0.1],164250,[],68,[],0,[],28,[],1.725888,,[],,[],,[],,[],,,,,2047.1,,,,,,detected by imaging,,HR 8799,07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HR 8799 c,10,3179,[3.0],1.3,"[0.0, 0.0]",82145,[],42.9,[],0,[],28,[],1.088832,,[],,[],,[],,[],,,,,1936.7,,,,,,detected by imaging,,HR 8799,07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HR 8799 d,10,3179,[3.0],1.2,"[0.0, 0.0]",41054,[],27,[],0.1,[],28,[],0.685279,80.2,[],,[],,[],,[],,,,,2003.7,,,,,,detected by imaging,,HR 8799,07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HR 8799 e,9,2861.1,[4.0],,[],18000,[0.0],14.5,[0.5],,[],,[],0.36802,,[],,[],,[],,[],,,,,,,,,,,detected by imaging,,HR 8799,07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HU Aqr(AB) c,5.9,1875.61,[0.1],,,5646,[8.0],6.18,,0.29,[0.03],,,,351,[1.0],2450050,[7.0],,,,,,,,,,,,,,,pulsar,,HU Aqr(AB),07:58.0,-05:17:41,15,,,,,,,1,,Catac. var.,,
HW Vir (AB) b,14.3,4545.97,[1.0],,,4640,[73.0],4.69,[0.06],0.4,[0.1],,,0.025912,-18,[10.0],2452410,,,,,,,,,,,,,,,,pulsar,,HW Vir (AB),44:20.0,-08:40:17,10.9,,,,,181,,0.627,,sdB+M,,
KELT-2A b,1.486,472.3994,[0.088],1.306,"[0.067, 0.067]",4.1137914,[1e-05],0.05498,[0.0004],0.185,[0.08],,,0.000427,160,[110.0],2455974.83,[1.2],,,2455974.604,[0.00084],,,,,,,,,,,detected by transit,,KELT-2A,10:39.0,+30:57:26,8.7,,,,,128.9,-0.015,1.31,1.842,F7V,,6148
KELT-3 b,1.418,450.7822,[0.07],1.333,[0.08],2.7033902,[1e-05],0.04117,[0.00067],0,[],84.32,[0.64],,,[],,[],,[],2456031.591,[0.00035],,,,,,,,,,3.296,detected by transit,,KELT-3,54:34.0,+40:23:17,9.8,,,,,178,0.048,1.282,1.482,F,3,6304
KELT-6 b,0.43,136.697,[0.05],1.19,"[0.13, 0.08]",7.845631,[4.6e-05],0.079,[0.001],0.22,"[0.12, 0.1]",,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,KELT-6,03:56.0,+30:38:24,10.38,,,,,,-0.28,1.2,1.58,F,,6102
KIC 10905746 b,,0,,0.237,[0.06],9.8844,[0.0087],0.0751,[0.0014],,,88.42,[0.42],,,,,,,,2454971.405,[0.0102],,,,,,,,,,,detected by transit,,KIC 10905746,54:31.0,+48:23:28,13,,,,,,-0.23,0.578,0.548,,,4240
KIC 12557548 b,3,953.7,"[0.0, 3.0]",0.034,"[0.0, 0.034]",0.65356,[1e-05],0.013,[],,[],,[],,,[],,[],,[],2455399.824,[0.002],,[],,[],,,,,,,detected by transit,,KIC 12557548,23:52.0,+51:30:17,16,,,,,470,-0.173,0.7,0.65,K4V,,4412
KIC 4862625 b,0.53,168.487,"[0.0, 0.53]",0.55,[0.013],138.506,[0.1],0.634,[0.011],0.0539,[0.0081],90,[0.07],,348,"[6.7, 5.0]",,[],,[],2455074.71,[0.11],,[],,[],,,,,,,detected by transit,,KIC 4862625(AB),52:52.0,+39:57:18,,,,,,,,1.93,1.7,F+M,,
KIC 6185331 b,,0,,0.72,[0.1],49.76971,[0.00039],0.2672,[0.0036],,,89.2,[0.21],,,,,,,,2454992.988,[0.0028],,,,,,,,,,,detected by transit,,KIC 6185331,57:06.0,+41:32:06,15,,,,,,0.11,1.027,1.27,,8.7,5619
KIC-8852719 b,,0,[],0.315,[],88.4075,[],0.19757,[],,[],89.53,[],,,[],,[],,[],2455009.272,[],,,,,,,,,,,detected by transit,,KIC 8852719,15:53.0,+44:37:28,,,,,,,0.015,0.94,0.822,,,5114
KOI-115 b,,0,[],0.43,[0.14],5.4122,[2e-05],0.066,[0.003],0.47,"[0.05, 0.47]",85.94,"[1.87, 3.88]",,272,"[16.0, 272.0]",,[],,[],,[],,[],,[],,,1418,,,,detected by transit,,KOI-115,11:33.0,+46:16:34,13,,,,,,-0.22,1.28,1.58,,,6397
KOI-1203 b,0.045,14.3055,"[0.067, 0.0299]",0.259,[0.0143],31.884,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1203,34:16.0,+39:02:11,,,,,,,0.012,0.96,0.95,,,5812
KOI-1203 c,0.044,13.9876,"[0.0673, 0.0283]",0.25,[0.0134],48.648,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1203,34:16.0,+39:02:11,,,,,,,0.012,0.96,0.95,,,5812
KOI-1215 b,0.28,89.012,"[0.471, 0.139]",0.261,[0.0349],17.324,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1215,06:20.0,+39:04:38,13.4,,,,,,-0.315,1.19,1.65,,,6306
KOI-1215 c,0.21,66.759,"[0.313, 0.134]",0.3,[0.04],33.006,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1215,06:20.0,+39:04:38,13.4,,,,,,-0.315,1.19,1.65,,,6306
KOI-1236 b,0.171,54.3609,"[0.469, 0.05]",0.385,[0.157],35.736,[],0.232,[],,[],,[],,,[],,[],,[],2454984.061,[],,[],,[],,,,,,,detected by transit,,KOI-1236,09:34.0,+42:11:42,13.7,,,,,,-0.57,1.23,1.27,,,6562
KOI-1236 c,0.13,41.327,"[0.357, 0.038]",0.277,[0.114],54.414,[],0.30728,[],,[],,[],,,[],,[],,[],2454981.88,[],,[],,[],,,,,,,detected by transit,,KOI-1236,09:34.0,+42:11:42,13.7,,,,,,-0.57,1.23,1.27,,,6562
KOI-1278 b,0.204,64.8516,"[0.38, 0.08]",0.22,[],24.806,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1278,58:43.0,+44:47:51,15.2,,,,,,-0.374,1.09,1.01,,,5876
KOI-1278 c,0.192,61.0368,"[0.3, 0.12]",0.277,[0.0143],44.347,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1278,58:43.0,+44:47:51,15.2,,,,,,-0.374,1.09,1.01,,,5876
KOI-142 b,0.0055264,1.75684256,"[0.0055264, 0.0]",0.37647,"[0.026, 0.0347]",10.9542,"[6.4e-05, 0.00143]",,[],0.05611,"[0.00121, 0.00052]",0.962,"[0.077, 0.078]",,90.7,"[3.4, 1.0]",,[],,[],,[],,,,,,,,,,,detected by transit,,KOI-142,24:36.0,+40:40:10,5.183,,11.882,11.517,11.454,385,0.37,1.022,0.961,B,2.45,5513
KOI-142 c,0.679135,215.8970165,"[0.024, 0.0024]",,[],22.3383,"[0.0036, 0.0031]",,[],0.05628,"[0.0014, 0.0028]",3.7,"[2.7, 2.1]",,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,KOI-142,24:36.0,+40:40:10,5.183,,11.882,11.517,11.454,385,0.37,1.022,0.961,B,2.45,5513
KOI-156 b,0.0107,3.40153,"[0.0145, 0.00787]",0.143,[0.0044],8.041,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-156,36:29.0,+48:20:58,13.7,,,,,,-0.003,0.71,0.65,,,4450
KOI-156 c,0.0151,4.80029,"[0.0233, 0.00818]",0.226,[0.007],11.776,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-156,36:29.0,+48:20:58,13.7,,,,,,-0.003,0.71,0.65,,,4450
KOI-1563 b,0.0356,11.31724,"[0.0938, 0.012]",0.322,[0.111],5.487,[],0.05856,[],,[],,[],,,[],,[],,[],2455189.08,[],,[],,[],,,,,,,detected by transit,,KOI-1563,56:54.0,+40:20:35,15.8,,,,,,-0.071,0.83,0.87,,,4918
KOI-1563 c,0.0192,6.10368,"[0.0538, 0.0057]",0.295,[0.1],8.291,[],0.07711,[],,[],,[],,,[],,[],,[],2455192.628,[],,[],,[],,,,,,,detected by transit,,KOI-1563,56:54.0,+40:20:35,15.8,,,,,,-0.071,0.83,0.87,,,4918
KOI-1576 c,0.0038,1.20802,"[0.01, 0.001]",0.25,[0.1],13.084,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1576,51:11.0,+40:25:04,14.1,,,,,,0.158,0.78,1.03,,,5445
KOI-1676 b,0.0079,2.51141,"[0.021, 0.002]",0.286,[0.117],10.416,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1576,51:11.0,+40:25:04,14.1,,,,,,0.158,0.78,1.03,,,5445
KOI-1781 b,,0,[],0.168,[],3.00516,[1e-05],0.038,[0.001],0,"[0.35, 0.0]",88.27,[1.8],,0,"[250.0, 0.0]",,[],,[],,[],,[],,[],,,1040,,,,detected by transit,,KOI-1781,10:25.3,+49:31:24,12.5,,,,,,0.23,0.83,0.79,,,4974
KOI-1843 b,0.001,0.3179,"[0.0, 1.0, 0.0005]",0.052,"[0.01, 0.007]",0.1768913,[2e-07],,[],,[],72,"[12.0, 20.0]",,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,KOI-1843,00:03.0,+40:13:15,,,12,,,,0,0.46,0.45,,,3584
KOI-1873 b,0.069,21.9351,"[0.198, 0.019]",0.206,[0.076],34.921,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1873,13:15.0,+46:46:17,,,,,,,-0.186,0.98,0.97,,,5314
KOI-1873 c,0.1,31.79,"[0.28, 0.03]",0.483,[0.179],71.312,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-1873,13:15.0,+46:46:17,,,,,,,-0.186,0.98,0.97,,,5314
KOI-202 b,0.88,279.752,,1.02,,1.72,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,KOI-202,04:26.0,+43:40:52,14.5,,,,,,0.12,,1.04,,,5912
KOI-2025 b,0.0176,5.59504,"[0.054, 0.004]",0.277,[0.125],17.849,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-2025,01:41.0,+39:42:22,13.8,,,,,,-0.308,1.03,1.33,,,6215
KOI-2025 c,0.048,15.2592,"[0.128, 0.014]",0.25,[0.092],26.136,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-2025,01:41.0,+39:42:22,13.8,,,,,,-0.308,1.03,1.33,,,6215
KOI-206 b,2.9,921.91,,0.7,,5.33,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,KOI-206,50:22.0,+40:58:38,14.5,,,,,,-0.13,,1.16,,,5771
KOI-2672 b,0.22,69.938,"[0.61, 0.068]",0.31,[0.12],42.994,[],0.36709,[],,[],,[],,,[],,[],,[],2455015.653,[],,[],,[],,,,,,,detected by transit,,KOI-2672,44:32.0,+48:48:38,,,,,,,-0.129,0.81,1.04,,,5384
KOI-2672 c,0.053,16.8487,"[0.14, 0.016]",0.47,[0.19],88.505,[],0.22662,[],,[],,[],,,[],,[],,[],2454995.512,[],,[],,[],,,,,,,detected by transit,,KOI-2672,44:32.0,+48:48:38,,,,,,,-0.129,0.81,1.04,,,5384
KOI-274 b,0.0941,29.91439,"[0.142, 0.061]",0.101,[0.014],15.09,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-274,49:58.0,+43:58:49,11.4,,,,,,-0.048,1.17,1.55,,,6013
KOI-274 c,0.104,33.0616,"[0.149, 0.07]",0.101,[0.014],22.804,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-274,49:58.0,+43:58:49,11.4,,,,,,-0.048,1.17,1.55,,,6013
KOI-282 b,,0,[],,[],27.50868,[7e-05],0.178,[0.005],0,"[0.07, 0.0]",89.34,"[0.66, 0.31]",,0,"[11.0, 0.0]",0.26,[0.022],,[],,[],,[],,[],,,683,,,,detected by transit,,KOI-282,13:48.2,+40:14:43,,,,,,,0.02,1,1.17,,,5879
KOI-285 b,0.189,60.0831,"[0.28, 0.126]",0.314,[0.039],13.749,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-285,16:21.0,+41:33:47,11.6,,,,,,,1.17,1.53,,,
KOI-285 c,0.0179,5.69041,"[0.0277, 0.011]",0.233,[0.029],26.723,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-285,16:21.0,+41:33:47,11.6,,,,,,,1.17,1.53,,,
KOI-370 b,0.108,34.3332,"[0.169, 0.064]",0.237,[0.032],22.951,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-370,25:33.0,+44:31:45,11.9,,,,,,-0.674,1.26,1.98,,,6207
KOI-370 c,0.234,74.3886,"[0.349, 0.153]",0.395,[0.035],42.882,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-370,25:33.0,+44:31:45,11.9,,,,,,-0.674,1.26,1.98,,,6207
KOI-523 b,0.00535,1.700765,"[0.00787, 0.00378]",0.259,[0.013],35.855,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-523,04:11.0,+45:03:12,15,,,,,,0.091,0.93,0.98,,,5942
KOI-523 c,0.0198,6.29442,"[0.033, 0.0107]",0.635,[0.033],49.412,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-523,04:11.0,+45:03:12,15,,,,,,0.091,0.93,0.98,,,5942
KOI-55 b,0.014,4.4506,[],0.068,[],0.2401,[4e-06],0.006,[],,[],,[],5.00E-06,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,KOI-55,45:25.0,+41:05:34,14.87,,,,,1180,,0.496,0.203,sdB,0.0184,27730
KOI-55 c,0.0021,0.66759,[],0.078,[],0.34289,[1.3e-05],0.0076,[],,[],,[],6.00E-06,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,KOI-55,45:25.0,+41:05:34,14.87,,,,,1180,,0.496,0.203,sdB,0.0184,27730
KOI-680 b,0.62,197.098,,0.65,,8.6,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,KOI-680,29:09.0,+43:11:50,14,,,,,,-0.46,,1.16,,,6060
KOI-730 b,,0,,0.31,,14.7903,[0.0002],0.12,,,,,,,,,,,,,245009.733,[0.002],,,,,,,,,,,detected by transit,,KOI-730,53:16.0,+47:16:46,15,,,,,,,1.07,1.1,,,5590
KOI-730 c,,0,,0.23,,9.8499,[0.0003],0.092,,,,,,,,,,,,,2454991.354,[0.009],,,,,,,,,,,detected by transit,,KOI-730,53:16.0,+47:16:46,15,,,,,,,1.07,1.1,,,5590
KOI-730 d,,0,[],0.25,[],19.7216,[0.0004],0.145,[],,,,[],,,,,[],,[],245968.117,[0.005],,,,,,,,,,,detected by transit,,KOI-730,53:16.0,+47:16:46,15,,,,,,,1.07,1.1,,,5590
KOI-730 e,,0,,0.18,,7.3831,[0.0004],0.076,,,,,,,,,,,,,245970.54,[0.01],,,,,,,,,,,detected by transit,,KOI-730,53:16.0,+47:16:46,15,,,,,,,1.07,1.1,,,5590
KOI-82 b,,0,[],0.196,[],16.14569,[3e-05],0.117,[0.003],0,"[0.4, 0.0]",89.56,"[0.44, 0.64]",,0,"[235.0, 0.0]",,[],,[],,[],,[],,[],,,579,,,,detected by transit,,KOI-82,45:55.9,+47:12:29,12,,,,,,0.18,0.81,0.76,,,4809
KOI-834 b,0.626,199.0054,"[3.54, 0.048]",0.501,"[0.724, 0.501]",23.654,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-834,11:35.0,+40:38:16,,,,,,,0.143,1.43,0.9,,,5614
KOI-834 c,0.056,17.8024,"[0.294, 0.0047]",0.179,"[0.258, 0.179]",50.447,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,KOI-834,11:35.0,+40:38:16,,,,,,,0.143,1.43,0.9,,,5614
KOI-94 b,0.033,10.4907,[0.014],0.153,[0.014],3.7432451,[3.1e-05],0.05,[],,[],,[],,,[],,[],,[],2454965.74,[0.00019],,[],,[],,,,,,,detected by transit,,KOI-94,49:20.0,+41:53:28,12.4,,,,,,-0.01,1.25,1.656,,3.9,6116
KOI-94 c,0.049,15.5771,"[0.018, 0.049]",0.386,[0.038],10.423707,[2.6e-05],0.099,[],,[],,[],,,[],,[],,[],2454971.007,[0.00093],,[],,[],,,,,,,detected by transit,,KOI-94,49:20.0,+41:53:28,12.4,,,,,,-0.01,1.25,1.656,,3.9,6116
KOI-94 d,0.33,104.907,[0.03],1,[0.095],22.3430004,[1.1e-05],0.165,[],,[],,[],,,[],,[],,[],2454965.74,[0.00019],,[],,[],,,,,,,detected by transit,,KOI-94,49:20.0,+41:53:28,12.4,,,,,,-0.01,1.25,1.656,,3.9,6116
KOI-94 e,0.11,34.969,"[0.057, 0.088]",0.59,[0.05],54.319931,[0.00012],0.298,[],,[],,[],,,[],,[],,[],2454994.24,[0.00079],,[],,[],,,,,,,detected by transit,,KOI-94,49:20.0,+41:53:28,12.4,,,,,,-0.01,1.25,1.656,,3.9,6116
Kepler-10 b,0.0143,4.54597,"[0.004, 0.0036]",0.127,[0.0003],0.837495,"[5e-06, 5e-06]",0.01684,"[0.00034, 0.00034]",0,[],84.4,"[1.6, 1.6]",9.70E-05,,[],,[],,[],2454964.574,"[0.00082, 0.00082]",,,,,,,,,,,detected by transit,,Kepler-10,02:43.0,+50:14:29,10.96,,,,,173,-0.15,0.895,1.056,G,11.9,5627
Kepler-10 c,0.063,20.0277,"[inf, nan]",0.199,"[0.0051, 0.0051]",45.29485,"[0.00076, 0.00076]",0.2407,"[0.0053, 0.0053]",0,[],89.65,"[0.12, 0.12]",0.001391,,[],,[],,[],245971.6761,"[0.0023, 0.0023]",,,,,,,,,,,detected by transit,,Kepler-10,02:43.0,+50:14:29,10.96,,,,,173,-0.15,0.895,1.056,G,11.9,5627
Kepler-11 b,0.01353,4.301187,"[0.00629, 0.00692]",0.1762,[0.017],10.30375,[0.00016],0.091,[0.003],0,,88.5,"[0.6, 0.6]",,,,,,,,2454971.505,[0.0077],,,,,,,,,,,detected by transit,,Kepler-11,48:28.0,+41:54:33,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 c,0.0425,13.51075,"[0.0198, 0.0151]",0.28175,[0.0268],13.02502,[8e-05],0.106,[0.004],0,,89,"[0.6, 0.6]",,,,,,,,2454971.175,[0.0031],,,,,,,,,,,detected by transit,,Kepler-11,48:28.0,+41:54:33,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 d,0.01919,6.100501,"[0.005349, 0.009754]",0.3068,[0.02862],22.68719,[0.00021],0.159,[0.005],0,,89.3,"[0.4, 0.4]",,,,,,,,2454981.455,[0.0044],,,,,,,,,,,detected by transit,,Kepler-11,48:28.0,+41:54:33,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 e,0.02643,8.402097,"[0.005978, 0.007866]",0.4043,[0.0385],31.9959,[0.00028],0.194,[0.007],0,,88.8,[0.2],,,,,,,,2454987.159,[0.0037],,,,,,,,,,,detected by transit,,Kepler-11,48:28.0,+41:54:33,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 f,0.007237,2.3006423,"[0.00378, 0.00692]",0.2335,[0.0224],46.68876,[0.00074],0.25,[0.009],0,[],89.4,[0.2],,,[],,[],,[],2454964.649,[0.0059],,,,,,,,,,,detected by transit,,Kepler-11,48:28.0,+41:54:33,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 g,0.95,302.005,"[0.0, 0.95]",0.3274,[0.0313],118.37774,[0.00112],0.462,[0.016],0,,89.8,[0.2],,,,,[],,[],2455120.29,[0.0022],,,,,,,,,,,detected by transit,,Kepler-11,48:28.0,+41:54:33,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-12 b,0.431,137.0149,[0.041],1.695,"[0.032, 0.032]",4.4379637,[2e-07],0.0556,[0.0007],0.01,,88.76,[0.08],,182,[98.0],,,,,2455004.008,[2e-05],,,,,,,,,,,detected by transit,,Kepler-12,00:00.0,+00:00:00,13.4,,,,,,0.07,1.166,1.483,G0,4,5947
Kepler-13 b,12.1,3846.59,[2.1],1.83,[],1.7637,[0.0013],,[],,[],,[],,,[],,[],,[],2455138.744,[0.0013],,[],,[],,,,,,,detected by transit,,Kepler-13,07:53.0,+46:52:06,10,,,,,,-0.14,2.05,2.55,,,8500
Kepler-14 b,8.4,2670.36,[0.19],1.136,"[0.054, 0.054]",6.790123,[4.3e-06],,[],0.035,[0.02],90,"[2.8, 2.8]",,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,Kepler-14,10:50.0,+47:19:59,12.12,,,,,980,0.12,1.512,2.048,F,2.2,6395
Kepler-15 b,0.66,209.814,[0.09],0.96,"[0.07, 0.07]",4.942782,[1.3e-06],0.05714,"[0.00093, 0.00093]",,,87.44,"[1.5, 1.5]",,,,,,,,2454969.329,"[9.6e-05, 9.6e-05]",,,,,,,,,,,detected by transit,,Kepler-15,00:00.0,+00:00:00,13.8,,,,,,0.36,1.018,0.992,,,5595
Kepler-16 (AB) b,0.333,105.8607,[0.016],0.7538,"[0.0023, 0.0023]",228.776,"[0.037, 0.037]",0.7048,[0.001],0.00685,"[0.00146, 0.00146]",90.0322,"[0.0023, 0.0023]",,318,"[22.0, 22.0]",,[],,[],2455212.123,[],,,,,,,,,,,detected by transit,,Kepler-16 (AB),16:18.0,+51:45:27,12,,,,,,-0.3,0.8499,0.65,K,,4450
Kepler-17 b,2.45,778.855,[0.014],1.312,[0.018],1.4857108,[2e-07],0.02591,[0.00037],0.011,"[inf, nan]",87.2,[0.15],3.20E-05,,,,,,,2455185.678,[2.6e-05],,,,,,,,,,,detected by transit,,Kepler-17,53:35.0,+47:48:54,14,,,,,800,0.26,1.16,1.05,G2V,1.78,5781
Kepler-18 b,0.0217,6.89843,[0.0107],0.179,[0.009],3.504725,[2.8e-05],0.0447,[0.0006],,,84.92,[0.26],,,,,[],,[],2454966.507,[0.0021],,,,,,,,,,,detected by transit,,Kepler-18,52:19.0,+44:44:47,14,,,,,,0.2,0.972,1.108,,10,5383
Kepler-18 c,0.054,17.1666,[0.006],0.49,[0.02],7.64159,[3e-05],0.0752,[0.0011],,[],87.68,[0.22],,,[],,[],,[],2455167.088,[0.0023],,,,,,,,,,,detected by transit,,Kepler-18,52:19.0,+44:44:47,14,,,,,,0.2,0.972,1.108,,10,5383
Kepler-18 d,0.052,16.5308,[0.004],0.62,[0.03],14.85888,[4e-05],0.1172,[0.0017],,[],88.07,[0.1],,,[],,[],,[],2455169.178,[0.0013],,,,,,,,,,,detected by transit,,Kepler-18,52:19.0,+44:44:47,14,,,,,,0.2,0.972,1.108,,10,5383
Kepler-19 b,0.064,20.3456,"[inf, nan]",0.198,[0.004],9.2869944,[8.8e-06],0.085,"[0.0015, 0.0006]",,[],89.94,"[0.44, 0.44]",,,[],,[],,[],2454959.706,[0.00036],,,,,,,,,,,detected by transit,,Kepler-19,21:41.0,+37:51:06,12,,,,,,-0.13,0.936,0.85,,1.9,5541
Kepler-20 b,0.027,8.5833,[0.007],0.17,"[0.02, 0.02]",3.6961219,[],0.04537,[0.0006],0.32,"[inf, nan]",86.5,"[0.31, 0.31]",0.000156,,[],,[],,[],2454967.5,"[0.00068, 0.00068]",,,,,,,,,,,detected by transit,,Kepler-20,10:48.0,+42:20:19,12.5,,,,,290,0.02,0.912,0.944,G8,8.8,5466
Kepler-20 c,0.051,16.2129,[0.01],0.27,[0.02],10.854092,[1.3e-05],0.093,[0.001],0.4,"[inf, nan]",88.39,[0.16],0.000321,,[],,[],,[],2454971.608,[0.00046],,,,,,,,,,,detected by transit,,Kepler-20,10:48.0,+42:20:19,12.5,,,,,290,0.02,0.912,0.944,G8,8.8,5466
Kepler-20 d,0.06,19.074,[],0.25,"[0.027, 0.027]",77.61185,"[0.00037, 0.00037]",0.3453,[0.0046],0.6,"[inf, nan]",89.57,[0.0048],0.001191,,[],,[],,[],2454997.727,[0.0019],,,,,,,,,,,detected by transit,,Kepler-20,10:48.0,+42:20:19,12.5,,,,,290,0.02,0.912,0.944,G8,8.8,5466
